name,company_id,entity_type,summary,stock_ticker,currency,earnings_date,exchange,closing_price,previous_close,open,bid,ask,day_range,week_range,volume,avg_volume,market_cap,beta,pe_ratio,eps,dividend_yield,ex_dividend_date,target_est,url,people_also_watch,similar,risk_score,risk_score_text,risk_score_percentile,recommendation_rating,analyst_price_target,company_profile_address
De Nora India Limited (DENORA.BO),DENORA.BO,EQUITY,BSE - Free Realtime Quote  • INR,DENORA.BO,INR,2024-10-24 - 2024-10-24,up,1291,1280.5,1299.15,"1,290.70","1,295.90","1,274.55 - 1,300.60","1,200.45 - 2,022.25",217,1261,6853441536,0.464,37.4746,34.45,2.00 (0.16%),2024-09-18,,https://finance.yahoo.com/quote/DENORA.BO/,"[{""last_price"":703.2,""perc_change"":""+0.29%"",""symbol"":""DICIND.BO""},{""last_price"":220.1,""perc_change"":""-1.85%"",""symbol"":""NAHARPOLY.BO""},{""perc_change"":""-0.60%"",""symbol"":""EIMCOELECO.BO""},{""last_price"":939,""perc_change"":""+0.54%"",""symbol"":""ELECTHERM.BO""},{""last_price"":314.25,""perc_change"":""+0.08%"",""symbol"":""TIL.BO""},{""last_price"":198.35,""perc_change"":""+4.42%"",""symbol"":""KECL.BO""},{""last_price"":188.9,""perc_change"":""+3.62%"",""symbol"":""RPPINFRA.BO""},{""last_price"":89.25,""perc_change"":""+5.00%"",""symbol"":""DCM.BO""},{""last_price"":445.15,""perc_change"":""+1.97%"",""symbol"":""DAICHI.BO""},{""last_price"":292.55,""perc_change"":""+3.16%"",""symbol"":""MINDTECK.BO""},{""perc_change"":""+5.35%"",""symbol"":""ESABINDIA.BO""},{""perc_change"":""-1.42%"",""symbol"":""KENNAMET.BO""},{""last_price"":116.05,""perc_change"":""+0.04%"",""symbol"":""DONEAR.BO""},{""last_price"":800.05,""perc_change"":""-1.55%"",""symbol"":""SUNDRMBRAK.BO""},{""last_price"":795,""perc_change"":""+1.25%"",""symbol"":""GANDHITUBE.BO""},{""last_price"":125.4,""perc_change"":""-1.07%"",""symbol"":""KANORICHEM.BO""}]","[{""perc_change"":""+0.82%"",""symbol"":""DENORA.BO""},{""perc_change"":""-2.38%"",""symbol"":""INDOTECH.NS""},{""perc_change"":""+1.15%"",""symbol"":""HONAUT.NS""}]",,,,,null,"Kundaim Industrial Estate Ponda, 403 115 India"
"Wiscom System Co., Ltd. (002090.SZ)",002090.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,002090.SZ,CNY,,up,8.68,8.41,8.46,8.69,8.7,8.46 - 8.81,5.99 - 10.64,18211400,6805735,3477008384,0.473,48.22222,0.18,0.00 (0.00%),2024-10-17,,https://finance.yahoo.com/quote/002090.SZ/,"[{""last_price"":12.01,""perc_change"":""+2.56%"",""symbol"":""002079.SZ""},{""last_price"":7.32,""perc_change"":""+6.86%"",""symbol"":""002065.SZ""},{""last_price"":5.19,""perc_change"":""+1.17%"",""symbol"":""002083.SZ""},{""last_price"":6.38,""perc_change"":""+2.90%"",""symbol"":""002063.SZ""},{""last_price"":7.26,""perc_change"":""-0.27%"",""symbol"":""002091.SZ""},{""last_price"":12.97,""perc_change"":""+2.77%"",""symbol"":""002080.SZ""},{""last_price"":8.37,""perc_change"":""-0.36%"",""symbol"":""002093.SZ""},{""last_price"":7.31,""perc_change"":""-0.27%"",""symbol"":""002038.SZ""},{""last_price"":4.24,""perc_change"":""+0.71%"",""symbol"":""002121.SZ""},{""last_price"":15.01,""perc_change"":""+2.39%"",""symbol"":""002095.SZ""},{""last_price"":3.57,""perc_change"":""+2.59%"",""symbol"":""002108.SZ""},{""last_price"":76.4,""perc_change"":""-4.18%"",""symbol"":""002028.SZ""},{""last_price"":4.03,""perc_change"":""-0.25%"",""symbol"":""002092.SZ""},{""last_price"":13.01,""perc_change"":""-1.96%"",""symbol"":""002078.SZ""},{""last_price"":7.58,""perc_change"":""-1.43%"",""symbol"":""002055.SZ""},{""last_price"":6.5,""perc_change"":""+1.25%"",""symbol"":""002022.SZ""}]","[{""last_price"":8.68,""perc_change"":""+3.21%"",""symbol"":""002090.SZ""},{""last_price"":238.95,""perc_change"":""-0.57%"",""symbol"":""FFIV""},{""last_price"":432.53,""perc_change"":""+0.13%"",""symbol"":""MSFT""},{""last_price"":43.69,""perc_change"":""-2.76%"",""symbol"":""PLTR""}]",,,,,"{""current"":8.68}","No. 100, Jiangjun Avenue Nanjing, 211100 China"
"Hangzhou EZVIZ Network Co., Ltd. (688475.SS)",688475.SS,EQUITY,Shanghai - Delayed Quote  • CNY,688475.SS,CNY,,up,31.18,30.8,30.7,31.18,31.19,30.22 - 31.24,24.18 - 41.89,6700861,3915975,24554250240,,45.85294,0.68,0.36 (1.16%),2024-05-28,37.35,https://finance.yahoo.com/quote/688475.SS/,"[{""last_price"":42.5,""perc_change"":""+3.41%"",""symbol"":""002625.SZ""},{""last_price"":56.48,""perc_change"":""+2.80%"",""symbol"":""688531.SS""},{""last_price"":144.18,""perc_change"":""+1.99%"",""symbol"":""688032.SS""},{""last_price"":12.32,""perc_change"":""+3.44%"",""symbol"":""300682.SZ""},{""last_price"":72.83,""perc_change"":""-1.61%"",""symbol"":""603195.SS""},{""last_price"":14.89,""perc_change"":""-2.42%"",""symbol"":""002372.SZ""},{""last_price"":34.89,""perc_change"":""+1.93%"",""symbol"":""002192.SZ""},{""last_price"":13.79,""perc_change"":""-0.43%"",""symbol"":""300012.SZ""},{""last_price"":10.73,""perc_change"":""-0.28%"",""symbol"":""601958.SS""},{""last_price"":14.97,""perc_change"":""+0.07%"",""symbol"":""002507.SZ""},{""last_price"":17.36,""perc_change"":""-0.12%"",""symbol"":""000623.SZ""},{""last_price"":95.68,""perc_change"":""+1.77%"",""symbol"":""300782.SZ""},{""last_price"":51.65,""perc_change"":""-1.03%"",""symbol"":""601100.SS""},{""last_price"":192.43,""perc_change"":""+6.23%"",""symbol"":""688012.SS""}]","[{""last_price"":31.18,""perc_change"":""+1.23%"",""symbol"":""688475.SS""},{""last_price"":125,""perc_change"":""+0.81%"",""symbol"":""6728.TWO""},{""last_price"":230.1,""perc_change"":""-1.53%"",""symbol"":""AAPL""}]",,,,1.8,"{""average"":37.35,""current"":31.18,""high"":39.36,""low"":34.74}","No. 630, Qizhi Street Hangzhou, 310000 China"
Catella AB (publ) (CAT-B.ST),CAT-B.ST,EQUITY,Stockholm - Free Realtime Quote  • SEK,CAT-B.ST,SEK,2024-11-07 - 2024-11-07,down,30.5,30.8,30.8,30.4,30.55,30.05 - 30.80,23.85 - 34.20,6866,101588,2623240960,1.314,,-1.18,0.90 (2.92%),2024-05-23,45.5,https://finance.yahoo.com/quote/CAT-B.ST/,"[{""last_price"":172.8,""perc_change"":""-1.71%"",""symbol"":""CLAS-B.ST""},{""last_price"":112.2,""perc_change"":""-0.53%"",""symbol"":""NEWA-B.ST""},{""last_price"":27.02,""perc_change"":""-0.66%"",""symbol"":""CLA-B.ST""},{""last_price"":37.36,""perc_change"":""+0.11%"",""symbol"":""COOR.ST""},{""last_price"":79.7,""symbol"":""DIOS.ST""},{""last_price"":385,""perc_change"":""-0.62%"",""symbol"":""BURE.ST""},{""last_price"":71.85,""perc_change"":""-0.35%"",""symbol"":""CRED-A.ST""},{""last_price"":121.6,""perc_change"":""+0.50%"",""symbol"":""ALIG.ST""},{""last_price"":142,""perc_change"":""+0.28%"",""symbol"":""MEKO.ST""},{""last_price"":169.6,""perc_change"":""-0.12%"",""symbol"":""BEIA-B.ST""},{""last_price"":194,""perc_change"":""-0.31%"",""symbol"":""INWI.ST""},{""last_price"":33.3,""perc_change"":""-0.24%"",""symbol"":""RATO-B.ST""},{""last_price"":123.6,""perc_change"":""+0.08%"",""symbol"":""BILI-A.ST""},{""last_price"":223.6,""perc_change"":""-1.50%"",""symbol"":""LIAB.ST""},{""last_price"":58.1,""perc_change"":""-0.09%"",""symbol"":""DOM.ST""},{""last_price"":602.5,""perc_change"":""-0.25%"",""symbol"":""CAMX.ST""}]","[{""last_price"":30.5,""perc_change"":""-0.97%"",""symbol"":""CAT-B.ST""},{""last_price"":302.15,""perc_change"":""-0.41%"",""symbol"":""INVE-B.ST""},{""last_price"":75.18,""perc_change"":""+0.64%"",""symbol"":""BN.TO""},{""last_price"":54.04,""perc_change"":""+0.73%"",""symbol"":""BN""}]",,,,1,"{""average"":45.5,""current"":30.5,""high"":56,""low"":35}","Birger Jarlsgatan 6 Stockholm, 102 40 Sweden"
Asefa Public Company Limited (ASEFA.BK),ASEFA.BK,EQUITY,Thailand - Delayed Quote  • THB,ASEFA.BK,THB,,down,3.2,3.26,3.28,3.22,3.26,3.2000 - 3.3000,3.1400 - 4.1600,17500,37741,1695833600,0.23,17.777777,0.18,0.19 (5.83%),2024-05-07,,https://finance.yahoo.com/quote/ASEFA.BK/,"[{""last_price"":4.54,""perc_change"":""+0.89%"",""symbol"":""HFT.BK""},{""last_price"":12.2,""perc_change"":""+1.67%"",""symbol"":""ASK.BK""},{""last_price"":3.88,""symbol"":""LHK.BK""},{""last_price"":5.85,""symbol"":""SNC.BK""},{""last_price"":2.54,""symbol"":""ASP.BK""},{""last_price"":5.7,""symbol"":""ARROW.BK""},{""last_price"":2.94,""symbol"":""2S.BK""},{""last_price"":19.7,""perc_change"":""+0.51%"",""symbol"":""AH.BK""},{""last_price"":6.4,""symbol"":""LALIN.BK""},{""last_price"":9.8,""perc_change"":""+0.51%"",""symbol"":""SMPC.BK""},{""last_price"":11.8,""perc_change"":""+0.85%"",""symbol"":""KAMART.BK""},{""last_price"":3.02,""perc_change"":""-0.66%"",""symbol"":""GIFT.BK""},{""last_price"":7.9,""symbol"":""DRT.BK""},{""last_price"":4.42,""perc_change"":""+0.91%"",""symbol"":""BRR.BK""},{""last_price"":9.55,""perc_change"":""+0.53%"",""symbol"":""AP.BK""},{""last_price"":2.96,""symbol"":""LPN.BK""}]","[{""last_price"":3.2,""perc_change"":""-1.84%"",""symbol"":""ASEFA.BK""},{""last_price"":0.125,""perc_change"":""-3.85%"",""symbol"":""EXRO.TO""}]",,,,,"{""current"":3.2}","5 Moo 1, Rama II Road Samut Sakhon, 74000 Thailand"
Türkiye Kalkinma ve Yatirim Bankasi A.S. (KLNMA.IS),KLNMA.IS,EQUITY,Istanbul - Delayed Quote  • TRY,KLNMA.IS,TRY,2024-11-06 - 2024-11-07,up,14.9,14.75,14.9,0,0,14.90 - 14.90,13.50 - 70.05,6576,158068,81949999104,0.046,19.866667,0.75,0.00 (0.00%),2018-10-30,,https://finance.yahoo.com/quote/KLNMA.IS/,"[{""last_price"":284,""symbol"":""QNBFB.IS""},{""last_price"":20.66,""perc_change"":""-0.96%"",""symbol"":""VAKBN.IS""},{""last_price"":98,""perc_change"":""+0.31%"",""symbol"":""QNBFL.IS""},{""last_price"":14.84,""perc_change"":""+0.13%"",""symbol"":""HALKB.IS""},{""last_price"":761,""perc_change"":""-5.93%"",""symbol"":""KENT.IS""},{""last_price"":11.99,""perc_change"":""-0.83%"",""symbol"":""TSKB.IS""},{""last_price"":48.28,""perc_change"":""+0.12%"",""symbol"":""ENKAI.IS""},{""last_price"":13.06,""perc_change"":""+0.31%"",""symbol"":""ICBCT.IS""},{""last_price"":61.55,""perc_change"":""+0.57%"",""symbol"":""KOZAA.IS""},{""last_price"":133.5,""perc_change"":""+4.30%"",""symbol"":""TBORG.IS""},{""last_price"":198.7,""perc_change"":""+1.02%"",""symbol"":""GUBRF.IS""},{""last_price"":47.76,""perc_change"":""+0.29%"",""symbol"":""TTKOM.IS""},{""last_price"":270.75,""perc_change"":""-0.46%"",""symbol"":""NUHCM.IS""},{""last_price"":35.92,""perc_change"":""+0.17%"",""symbol"":""ISDMR.IS""},{""perc_change"":""+1.53%"",""symbol"":""BRYAT.IS""},{""perc_change"":""+1.07%"",""symbol"":""CLEBI.IS""}]","[{""last_price"":14.9,""perc_change"":""+1.02%"",""symbol"":""KLNMA.IS""},{""last_price"":1.3,""perc_change"":""-3.70%"",""symbol"":""SBNY""}]",,,,,"{""current"":14.9}","Saray Mahallesi Ümraniye, 34768 Turkey"
Sun Life Financial Inc. (SLF-PJ.TO),SLF-PJ.TO,EQUITY,Toronto - Delayed Quote  • CAD,SLF-PJ.TO,CAD,2024-11-04 - 2024-11-04,up,16.45,16.25,16.26,16.25,16.45,16.26 - 16.45,14.40 - 18.10,1600,1454,38125670400,0.938,2.5110672,6.551,3.12 (19.20%),2024-08-28,,https://finance.yahoo.com/quote/SLF-PJ.TO/,"[{""last_price"":19.05,""symbol"":""SLF-PK.TO""},{""last_price"":16.1,""perc_change"":""+0.63%"",""symbol"":""PWF-PQ.TO""},{""last_price"":16.75,""symbol"":""FTS-PI.TO""},{""last_price"":18,""symbol"":""FFH-PF.TO""},{""last_price"":17.29,""perc_change"":""+1.71%"",""symbol"":""TRP-PF.TO""},{""last_price"":18.5,""perc_change"":""+0.22%"",""symbol"":""FFH-PH.TO""},{""last_price"":19.3,""symbol"":""FFH-PJ.TO""},{""last_price"":22.45,""perc_change"":""-0.66%"",""symbol"":""FFH-PD.TO""},{""last_price"":16.22,""perc_change"":""+0.75%"",""symbol"":""SLF-PG.TO""},{""last_price"":18.83,""perc_change"":""+0.11%"",""symbol"":""SLF-PH.TO""},{""last_price"":20.2,""perc_change"":""+0.90%"",""symbol"":""SLF-PD.TO""},{""last_price"":24.27,""perc_change"":""+0.37%"",""symbol"":""MFC-PJ.TO""},{""last_price"":20.41,""perc_change"":""+0.54%"",""symbol"":""SLF-PE.TO""},{""last_price"":24.86,""perc_change"":""+0.44%"",""symbol"":""NA-PS.TO""},{""last_price"":22.2,""perc_change"":""+0.63%"",""symbol"":""PPL-PO.TO""},{""last_price"":16.07,""perc_change"":""-0.25%"",""symbol"":""MFC-PF.TO""}]","[{""last_price"":16.45,""perc_change"":""+1.23%"",""symbol"":""SLF-PJ.TO""},{""last_price"":5.94,""perc_change"":""+0.51%"",""symbol"":""BBSEY""}]",,,,,"{""current"":16.45}","1 York Street Toronto, ON M5J 0B6 Canada"
"Argus (Shanghai) Textile Chemicals Co.,Ltd. (603790.SS)",603790.SS,EQUITY,Shanghai - Delayed Quote  • CNY,603790.SS,CNY,,up,11.42,11.23,11.2,11.42,11.43,10.80 - 11.70,7.04 - 15.57,10190595,2827168,2185331200,,40.785713,0.28,0.10 (0.89%),2024-06-17,,https://finance.yahoo.com/quote/603790.SS/,"[{""last_price"":57.04,""perc_change"":""+0.04%"",""symbol"":""603713.SS""},{""last_price"":23.4,""perc_change"":""+0.78%"",""symbol"":""603530.SS""},{""last_price"":18,""perc_change"":""+0.73%"",""symbol"":""603629.SS""},{""last_price"":16.33,""perc_change"":""-0.06%"",""symbol"":""603706.SS""},{""last_price"":9.02,""perc_change"":""+0.45%"",""symbol"":""603648.SS""},{""last_price"":10.44,""perc_change"":""+0.29%"",""symbol"":""603700.SS""},{""last_price"":12.14,""perc_change"":""-0.33%"",""symbol"":""603685.SS""},{""last_price"":15.56,""perc_change"":""-1.27%"",""symbol"":""603679.SS""},{""last_price"":8.4,""perc_change"":""+1.94%"",""symbol"":""603798.SS""},{""last_price"":12.79,""perc_change"":""+0.24%"",""symbol"":""603681.SS""},{""last_price"":4.33,""perc_change"":""+0.23%"",""symbol"":""603980.SS""},{""last_price"":6.76,""perc_change"":""+1.81%"",""symbol"":""603725.SS""},{""last_price"":26.9,""perc_change"":""-1.93%"",""symbol"":""603826.SS""},{""last_price"":39.28,""perc_change"":""+0.46%"",""symbol"":""603722.SS""},{""last_price"":8.97,""perc_change"":""-0.11%"",""symbol"":""603683.SS""},{""last_price"":33.51,""perc_change"":""+4.49%"",""symbol"":""603662.SS""}]","[{""last_price"":11.42,""perc_change"":""+1.69%"",""symbol"":""603790.SS""},{""last_price"":6.56,""perc_change"":""+2.02%"",""symbol"":""300067.SZ""}]",,,,,"{""current"":11.42}","No. 388, Jinyuan Liu Road Shanghai, 201812 China"
Thaicom Public Company Limited (THCOM.BK),THCOM.BK,EQUITY,Thailand - Delayed Quote  • THB,THCOM.BK,THB,2024-11-01 - 2024-11-05,up,14.7,14.2,14.2,14.6,14.7,14.20 - 14.70,10.40 - 17.00,12478124,13399284,16112669696,1.238,105,0.14,0.13 (0.92%),2024-02-21,15.39,https://finance.yahoo.com/quote/THCOM.BK/,"[{""last_price"":107.5,""symbol"":""INTUCH.BK""},{""last_price"":275,""perc_change"":""+2.62%"",""symbol"":""ADVANC.BK""},{""last_price"":26.25,""perc_change"":""+4.00%"",""symbol"":""PTTGC.BK""},{""last_price"":12.3,""symbol"":""TRUE.BK""},{""last_price"":2.28,""perc_change"":""+0.88%"",""symbol"":""JAS.BK""},{""last_price"":41.25,""perc_change"":""+1.23%"",""symbol"":""TOP.BK""},{""last_price"":210,""perc_change"":""+2.43%"",""symbol"":""SCC.BK""},{""last_price"":24.9,""symbol"":""CPF.BK""},{""last_price"":5,""perc_change"":""+0.81%"",""symbol"":""BTS.BK""},{""last_price"":125.5,""perc_change"":""+1.21%"",""symbol"":""PTTEP.BK""},{""last_price"":38.5,""perc_change"":""+4.76%"",""symbol"":""HANA.BK""},{""last_price"":1.81,""perc_change"":""+2.26%"",""symbol"":""SIRI.BK""},{""last_price"":52.25,""symbol"":""TCAP.BK""},{""last_price"":36,""perc_change"":""+8.27%"",""symbol"":""KCE.BK""},{""last_price"":96.75,""perc_change"":""+0.52%"",""symbol"":""TISCO.BK""},{""last_price"":2.96,""symbol"":""LPN.BK""}]","[{""last_price"":14.7,""perc_change"":""+3.52%"",""symbol"":""THCOM.BK""},{""last_price"":4.78,""perc_change"":""-1.44%"",""symbol"":""NOK""}]",,,,2.2,"{""average"":15.39,""current"":14.7,""high"":17.26,""low"":12.5}","SJ Infinite 1 Business Complex Chatuchak, 10900 Thailand"
"Song Ho Industrial Co., Ltd. (5016.TWO)",5016.TWO,EQUITY,Taipei Exchange - Delayed Quote  • TWD,5016.TWO,TWD,,--,27.4,27.4,27.4,27.3,27.5,27.40 - 27.45,26.95 - 30.30,17300,14393,1359645568,0.47,20.147058,1.36,0.70 (2.55%),2024-07-02,,https://finance.yahoo.com/quote/5016.TWO/,"[{""last_price"":34.15,""perc_change"":""+0.29%"",""symbol"":""4535.TWO""},{""last_price"":85.9,""perc_change"":""-0.12%"",""symbol"":""6206.TW""},{""last_price"":87.5,""perc_change"":""+1.63%"",""symbol"":""5534.TW""},{""last_price"":46.85,""perc_change"":""+4.11%"",""symbol"":""5471.TW""},{""last_price"":209.5,""perc_change"":""-2.33%"",""symbol"":""8114.TW""},{""last_price"":81.9,""perc_change"":""+0.49%"",""symbol"":""9943.TW""},{""last_price"":122,""perc_change"":""-0.41%"",""symbol"":""3010.TW""},{""last_price"":30.15,""perc_change"":""-0.66%"",""symbol"":""9940.TW""},{""last_price"":31.45,""perc_change"":""+5.54%"",""symbol"":""4706.TWO""},{""last_price"":17.8,""perc_change"":""-1.66%"",""symbol"":""5014.TWO""},{""last_price"":61.8,""perc_change"":""+0.49%"",""symbol"":""5511.TWO""},{""last_price"":41,""perc_change"":""+0.37%"",""symbol"":""5015.TWO""},{""last_price"":32.55,""perc_change"":""-9.96%"",""symbol"":""6156.TWO""},{""last_price"":42.35,""perc_change"":""-1.05%"",""symbol"":""5604.TWO""},{""last_price"":40.35,""perc_change"":""-0.49%"",""symbol"":""1817.TW""},{""last_price"":101,""symbol"":""5312.TWO""}]","[{""last_price"":27.4,""symbol"":""5016.TWO""},{""last_price"":16.45,""perc_change"":""+1.23%"",""symbol"":""2064.TWO""},{""last_price"":29,""symbol"":""2073.TWO""},{""last_price"":29,""perc_change"":""+0.17%"",""symbol"":""2221.TWO""},{""last_price"":29.65,""perc_change"":""-0.67%"",""symbol"":""6248.TWO""},{""last_price"":15.65,""perc_change"":""+0.32%"",""symbol"":""9962.TWO""},{""last_price"":25.8,""perc_change"":""+0.39%"",""symbol"":""2012.TW""},{""last_price"":32.85,""perc_change"":""+0.15%"",""symbol"":""2035.TWO""},{""last_price"":34.9,""perc_change"":""+0.43%"",""symbol"":""5538.TW""},{""last_price"":27.5,""perc_change"":""-0.72%"",""symbol"":""2020.TW""},{""last_price"":16.75,""perc_change"":""-0.59%"",""symbol"":""2069.TW""}]",,,,,"{""current"":27.4}","No.61, Nankong 3rd Road Nantou City, Taiwan"
Amrutanjan Health Care Limited (AMRUTANJAN.BO),AMRUTANJAN.BO,EQUITY,BSE - Free Realtime Quote  • INR,AMRUTANJAN.BO,INR,2024-11-08 - 2024-11-12,up,753.8,736.4,737.55,756,758.95,737.10 - 759.80,556.05 - 861.40,776,14610,21783388160,0.759,51.174473,14.73,0.00 (0.00%),2024-09-13,500,https://finance.yahoo.com/quote/AMRUTANJAN.BO/,"[{""last_price"":485.95,""perc_change"":""+0.19%"",""symbol"":""AARTIDRUGS.BO""},{""last_price"":538.45,""perc_change"":""+3.13%"",""symbol"":""FDC.BO""},{""perc_change"":""+2.30%"",""symbol"":""AJANTPHARM.BO""},{""perc_change"":""+2.41%"",""symbol"":""ASTRAZEN.BO""},{""perc_change"":""-1.32%"",""symbol"":""HESTERBIO.BO""},{""perc_change"":""+3.49%"",""symbol"":""APLLTD.BO""},{""last_price"":829.1,""perc_change"":""+3.83%"",""symbol"":""UNICHEMLAB.BO""},{""perc_change"":""+4.22%"",""symbol"":""NEULANDLAB.BO""},{""perc_change"":""+1.92%"",""symbol"":""ERIS.BO""},{""perc_change"":""+0.44%"",""symbol"":""ALKEM.BO""},{""perc_change"":""+1.68%"",""symbol"":""IPCALAB.BO""},{""last_price"":837.45,""perc_change"":""-0.67%"",""symbol"":""SHILPAMED.BO""},{""perc_change"":""+1.19%"",""symbol"":""ABBOTINDIA.BO""},{""last_price"":308.75,""perc_change"":""+0.46%"",""symbol"":""INDOCO.BO""},{""perc_change"":""+2.72%"",""symbol"":""JBCHEPHARM.BO""},{""last_price"":488.8,""perc_change"":""+0.75%"",""symbol"":""LAURUSLABS.BO""}]","[{""last_price"":753.8,""perc_change"":""+2.36%"",""symbol"":""AMRUTANJAN.BO""},{""perc_change"":""+2.43%"",""symbol"":""MANKIND.NS""}]",,,,,"{""average"":500,""current"":753.8,""high"":500,""low"":500}","No.103 (Old No.42-45), Luz Church Road Chennai, 600004 India"
"China Haisum Engineering Co., Ltd. (002116.SZ)",002116.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,002116.SZ,CNY,,up,11.5,11.34,11.34,11.5,11.51,11.26 - 11.79,8.17 - 14.50,27345589,11521034,5359644160,0.613,16.197184,0.71,0.26 (2.31%),2024-06-28,16.94,https://finance.yahoo.com/quote/002116.SZ/,"[{""last_price"":8.26,""perc_change"":""+2.35%"",""symbol"":""002117.SZ""},{""last_price"":7.99,""perc_change"":""+4.31%"",""symbol"":""002097.SZ""},{""last_price"":8.33,""perc_change"":""-0.95%"",""symbol"":""002120.SZ""},{""last_price"":4.03,""perc_change"":""-0.25%"",""symbol"":""002092.SZ""},{""last_price"":12.32,""perc_change"":""-3.45%"",""symbol"":""002096.SZ""},{""last_price"":4.72,""perc_change"":""+2.16%"",""symbol"":""002135.SZ""},{""last_price"":8.02,""symbol"":""002051.SZ""},{""last_price"":5.94,""perc_change"":""-0.34%"",""symbol"":""002099.SZ""},{""last_price"":3.57,""perc_change"":""+2.59%"",""symbol"":""002108.SZ""},{""last_price"":7.31,""perc_change"":""-0.27%"",""symbol"":""002038.SZ""},{""last_price"":1.38,""perc_change"":""-2.13%"",""symbol"":""002141.SZ""},{""last_price"":2.62,""perc_change"":""+1.95%"",""symbol"":""002133.SZ""},{""last_price"":7.02,""perc_change"":""+5.09%"",""symbol"":""002068.SZ""},{""last_price"":6.41,""perc_change"":""+0.63%"",""symbol"":""002040.SZ""},{""last_price"":7.26,""perc_change"":""-0.27%"",""symbol"":""002091.SZ""},{""last_price"":21.31,""perc_change"":""-2.78%"",""symbol"":""002130.SZ""}]","[{""last_price"":11.5,""perc_change"":""+1.41%"",""symbol"":""002116.SZ""},{""last_price"":14.13,""perc_change"":""-1.19%"",""symbol"":""300284.SZ""},{""last_price"":12.79,""perc_change"":""-1.62%"",""symbol"":""600133.SS""},{""last_price"":14.76,""perc_change"":""+1.51%"",""symbol"":""600463.SS""},{""last_price"":0.171,""perc_change"":""+4.27%"",""symbol"":""2236.HK""}]",,,,2,"{""average"":16.94,""current"":11.5,""high"":16.94,""low"":16.94}","No. 21 Baoqing Road Shanghai, 200031 China"
"Taiwan Chinsan Electronic Industrial Co., Ltd. (8042.TWO)",8042.TWO,EQUITY,Taipei Exchange - Delayed Quote  • TWD,8042.TWO,TWD,,down,34.6,34.75,34.45,34.45,34.75,34.20 - 34.60,32.00 - 40.40,45963,35114,4479419392,0.504,57.66666,0.6,1.20 (3.45%),2024-06-27,,https://finance.yahoo.com/quote/8042.TWO/,"[{""last_price"":35.6,""perc_change"":""-1.52%"",""symbol"":""4999.TW""},{""last_price"":36.2,""perc_change"":""-0.28%"",""symbol"":""4114.TWO""},{""last_price"":18.35,""perc_change"":""-0.27%"",""symbol"":""2406.TW""},{""last_price"":32.7,""perc_change"":""+0.31%"",""symbol"":""1530.TW""},{""last_price"":91.1,""perc_change"":""+1.67%"",""symbol"":""3689.TWO""},{""last_price"":37.9,""perc_change"":""-0.39%"",""symbol"":""6195.TWO""},{""last_price"":41.6,""perc_change"":""-1.19%"",""symbol"":""4164.TW""},{""last_price"":132,""perc_change"":""-1.12%"",""symbol"":""8054.TWO""},{""last_price"":21.55,""perc_change"":""-1.15%"",""symbol"":""1815.TWO""},{""last_price"":16.3,""perc_change"":""+0.93%"",""symbol"":""6185.TWO""},{""last_price"":25.3,""perc_change"":""-0.98%"",""symbol"":""5490.TWO""},{""last_price"":31.1,""perc_change"":""+0.81%"",""symbol"":""6508.TWO""},{""last_price"":24.5,""perc_change"":""-2.39%"",""symbol"":""8450.TWO""},{""last_price"":43,""perc_change"":""+0.82%"",""symbol"":""8240.TWO""},{""last_price"":10,""perc_change"":""-0.99%"",""symbol"":""5512.TWO""},{""last_price"":25.2,""perc_change"":""-0.79%"",""symbol"":""3437.TW""}]","[{""last_price"":34.6,""perc_change"":""-0.43%"",""symbol"":""8042.TWO""},{""last_price"":21.85,""perc_change"":""-0.91%"",""symbol"":""3236.TWO""},{""last_price"":24.75,""perc_change"":""-0.40%"",""symbol"":""6210.TWO""},{""last_price"":21.3,""perc_change"":""+0.47%"",""symbol"":""6174.TWO""},{""last_price"":31.2,""perc_change"":""-0.79%"",""symbol"":""6432.TWO""},{""last_price"":21.05,""perc_change"":""-0.47%"",""symbol"":""5228.TWO""},{""last_price"":164,""symbol"":""2428.TW""},{""last_price"":16.3,""perc_change"":""+0.93%"",""symbol"":""6185.TWO""},{""last_price"":28.6,""perc_change"":""+0.70%"",""symbol"":""6155.TW""},{""last_price"":29.9,""symbol"":""3646.TWO""},{""last_price"":72.2,""perc_change"":""-2.96%"",""symbol"":""2472.TW""}]",,,,,"{""current"":34.6}","Floor 2, No. 1, Guangfu Road New Taipei City, Taiwan"
